split,model,roc_auc,average_precision,f1,sensitivity,specificity
cleveland_test,Logistic Regression,0.9485714285714286,0.9255303190674711,0.8636363636363636,0.9047619047619048,0.84
cleveland_test,XGBoost + Optuna,0.9352380952380952,0.9148834316268377,0.8372093023255814,0.8571428571428571,0.84
cleveland_test,Small MLP,0.9352380952380952,0.9297393046776499,0.7906976744186046,0.8095238095238095,0.8
hungarian,Logistic Regression,0.8693797671617823,0.8301654588761973,0.6628571428571428,0.5471698113207547,0.9414893617021277
hungarian,XGBoost + Optuna,0.875652348454436,0.8336805607446515,0.7204301075268817,0.6320754716981132,0.9308510638297872
hungarian,Small MLP,0.8327478924126857,0.7673679386559211,0.5131578947368421,0.36792452830188677,0.9627659574468085
swiss,Logistic Regression,0.6543478260869565,0.9540986080874885,0.573170731707317,0.40869565217391307,0.75
swiss,XGBoost + Optuna,0.7195652173913044,0.9695060792835452,0.631578947368421,0.46956521739130436,0.75
swiss,Small MLP,0.6065217391304347,0.9588322635836416,0.203125,0.11304347826086956,1.0
