comparison,feature,test,statistic,p_value,source_mean,target_mean,mean_delta,minus_log10_p
cleveland_train_vs_cleveland_test,chol,ks_2samp,0.2381050041017227,0.022467397540343794,249.70283018867926,232.2608695652174,-17.441960623461853,1.648447230176535
cleveland_train_vs_cleveland_test,fbs,chi_square,2.0922076968272627,0.1480519862157011,0.12264150943396226,0.21739130434782608,0.09474979491386382,0.8295857618867547
cleveland_train_vs_cleveland_test,sex,chi_square,2.0668837161607874,0.1505288258891711,0.6886792452830188,0.5652173913043478,-0.12346185397867104,0.8223803258119634
cleveland_train_vs_cleveland_test,exang,chi_square,1.7088402132237783,0.19113591606756902,0.32075471698113206,0.43478260869565216,0.1140278917145201,0.7186576976422533
cleveland_train_vs_cleveland_test,thalach,ks_2samp,0.13351107465135356,0.4657773083988888,149.6933962264151,144.2173913043478,-5.47600492206729,0.3318216731160585
cleveland_train_vs_cleveland_test,restecg,chi_square,1.5248301010088359,0.46653835169717495,1.0141509433962264,1.065217391304348,0.05106644790812154,0.3311126493540576
cleveland_train_vs_cleveland_test,ca,chi_square,2.4791427858865145,0.47907224432852835,0.6320754716981132,0.8444444444444444,0.21236897274633126,0.31959898982676566
cleveland_train_vs_cleveland_test,age,ks_2samp,0.12961443806398681,0.5027888575315627,54.613207547169814,55.21739130434783,0.6041837571780135,0.2986143554215956
cleveland_train_vs_cleveland_test,thal,chi_square,1.217877806420976,0.5439277229320166,4.672985781990521,4.913043478260869,0.24005769627034823,0.26445880548053347
cleveland_train_vs_cleveland_test,oldpeak,ks_2samp,0.11013125512715338,0.7017091948350109,0.9971698113207547,1.0717391304347827,0.07456931911402809,0.1538428326632263
cleveland_train_vs_cleveland_test,slope,chi_square,0.6294153036213972,0.7300022579146631,1.5849056603773586,1.608695652173913,0.0237899917965545,0.1366757965941163
cleveland_train_vs_cleveland_test,cp,chi_square,1.0734956328716885,0.7834758856598856,3.1839622641509435,3.217391304347826,0.03342904019688264,0.10597436599311029
cleveland_train_vs_cleveland_test,trestbps,ks_2samp,0.09557013945857257,0.8429044685019207,130.02358490566039,133.1086956521739,3.0851107465135215,0.0742216438253933
cleveland_train_vs_cleveland_validation,restecg,chi_square,6.816762640607742,0.03309472680545633,1.0141509433962264,0.8,-0.2141509433962263,1.480241199630091
cleveland_train_vs_cleveland_validation,trestbps,ks_2samp,0.2184486373165618,0.04860575509419034,130.02358490566039,138.0888888888889,8.065303983228517,1.3133123056826737
