split,model,calibration,ece,roc_auc,average_precision,f1,sensitivity,specificity
cleveland_test,Logistic Regression,uncalibrated,0.10643213603766258,0.9466666666666665,0.9235342349433333,0.9090909090909091,0.9523809523809523,0.88
cleveland_test,Logistic Regression,platt_sigmoid,0.1062003330181391,0.9466666666666665,0.9235342349433333,0.8888888888888888,0.9523809523809523,0.84
cleveland_test,Logistic Regression,isotonic,0.07249571841701608,0.9352380952380952,0.8929232804232804,0.8695652173913043,0.9523809523809523,0.8
cleveland_test,XGBoost + Optuna,uncalibrated,0.11739957753730856,0.9428571428571428,0.94480604983443,0.8181818181818182,0.8571428571428571,0.8
cleveland_test,XGBoost + Optuna,platt_sigmoid,0.13039645319803034,0.9428571428571428,0.94480604983443,0.8333333333333334,0.9523809523809523,0.72
cleveland_test,XGBoost + Optuna,isotonic,0.11035373677378116,0.9276190476190476,0.8965585691124602,0.8,0.8571428571428571,0.76
cleveland_test,Small MLP,uncalibrated,0.16417132335235632,0.9333333333333333,0.9293662708487338,0.7906976744186046,0.8095238095238095,0.8
cleveland_test,Small MLP,platt_sigmoid,0.17821287511325398,0.9333333333333333,0.9293662708487338,0.8181818181818182,0.8571428571428571,0.8
cleveland_test,Small MLP,isotonic,0.09174491841722325,0.9171428571428571,0.8875661375661376,0.8095238095238095,0.8095238095238095,0.84
hungarian,Logistic Regression,uncalibrated,0.08671501825251218,0.8626053793657166,0.815406560611988,0.6741573033707865,0.5660377358490566,0.9361702127659575
hungarian,Logistic Regression,platt_sigmoid,0.08387934143731822,0.8626053793657166,0.815406560611988,0.7301587301587301,0.6509433962264151,0.925531914893617
hungarian,Logistic Regression,isotonic,0.11893310902778707,0.8542001204335608,0.7626118445181207,0.7562189054726368,0.7169811320754716,0.898936170212766
hungarian,XGBoost + Optuna,uncalibrated,0.08949169729437148,0.861150140505821,0.8256962821864609,0.6853932584269663,0.5754716981132075,0.9414893617021277
hungarian,XGBoost + Optuna,platt_sigmoid,0.0799039740162703,0.861150140505821,0.8256962821864609,0.711340206185567,0.6509433962264151,0.898936170212766
hungarian,XGBoost + Optuna,isotonic,0.08305303722645352,0.8299126856684064,0.7318302324994941,0.6815642458100558,0.5754716981132075,0.9361702127659575
hungarian,Small MLP,uncalibrated,0.10254370437826325,0.8251706142111602,0.76211148546599,0.5135135135135135,0.3584905660377358,0.9787234042553191
hungarian,Small MLP,platt_sigmoid,0.07205270956607891,0.8251706142111602,0.76211148546599,0.5868263473053892,0.46226415094339623,0.9361702127659575
hungarian,Small MLP,isotonic,0.03411829550938886,0.7913488558811723,0.6592241960815758,0.43478260869565216,0.2830188679245283,0.9893617021276596
swiss,Logistic Regression,uncalibrated,0.4446304598364217,0.6684782608695651,0.9604566569511248,0.6590909090909091,0.5043478260869565,0.625
swiss,Logistic Regression,platt_sigmoid,0.4211012390491673,0.6684782608695651,0.9604566569511248,0.6741573033707865,0.5217391304347826,0.625
swiss,Logistic Regression,isotonic,0.4185046565469419,0.6875,0.9596435416578688,0.7835051546391752,0.6608695652173913,0.625
swiss,XGBoost + Optuna,uncalibrated,0.4517402164335173,0.7380434782608696,0.9755766879493605,0.6190476190476191,0.45217391304347826,0.875
swiss,XGBoost + Optuna,platt_sigmoid,0.40606544652113613,0.7380434782608696,0.9755766879493605,0.6742857142857143,0.5130434782608696,0.875
swiss,XGBoost + Optuna,isotonic,0.39355591460456696,0.7282608695652174,0.9696216338991179,0.6511627906976745,0.48695652173913045,0.875
swiss,Small MLP,uncalibrated,0.6353881693619015,0.6043478260869566,0.9597605277320509,0.1746031746031746,0.09565217391304348,1.0
swiss,Small MLP,platt_sigmoid,0.59169222466722,0.6043478260869566,0.9597605277320509,0.2835820895522388,0.16521739130434782,1.0
swiss,Small MLP,isotonic,0.5946804761894968,0.6097826086956522,0.9525480743048954,0.16,0.08695652173913043,1.0
