split,model,auc_roc_delta_coral_minus_none,auc_pr_delta_coral_minus_none,f1_delta_coral_minus_none,sensitivity_delta_coral_minus_none,specificity_delta_coral_minus_none
hungarian,Logistic Regression,0.01284624648735444,-0.010965484301169504,0.08479089437686005,0.19811320754716988,-0.07446808510638303
hungarian,Small MLP,0.009333600963468469,0.003727378871775988,0.01612829324169529,0.12264150943396235,-0.09574468085106391
hungarian,XGBoost + Optuna,-0.010763749498193476,-0.052046347917373836,-0.2076655052264808,-0.20754716981132076,0.010638297872340496
swiss,Logistic Regression,-0.009782608695652284,-0.01844724295852862,0.1463205320746621,0.15652173913043477,-0.125
swiss,Small MLP,-0.046739130434782505,-0.02254950856827198,-0.035523439397619594,-0.04347826086956519,0.0
swiss,XGBoost + Optuna,-0.12336956521739129,-0.01742807340647845,-0.36979476162179453,-0.30434782608695654,0.125
