model,roc_auc_mean,roc_auc_std,average_precision_mean,average_precision_std,f1_mean,f1_std,sensitivity_mean,sensitivity_std,specificity_mean,specificity_std
Small MLP,0.9120137299771167,0.03562481508730927,0.9185468406660767,0.03567523906062149,0.7839758876523584,0.05366503855831382,0.7010526315789474,0.07617227885840093,0.9304347826086957,0.021299910806810287
Logistic Regression,0.9050572082379864,0.029664236137534824,0.8988036186007118,0.04217123970468317,0.7906622984022365,0.03411763187605869,0.7647368421052632,0.07738095136626989,0.8608695652173914,0.05768043113661565
XGBoost + Optuna,0.901350114416476,0.026489171151281157,0.8997230279768337,0.043464346705646396,0.8136173767752715,0.05884857893444719,0.7947368421052632,0.041274703003573984,0.8608695652173912,0.1113586823901365
